SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR
04040001,DE LA PETITE NATION RIVER AT BRIDGE - RTE 148 EAST OF PLAISANCE,RIVIÈRE DE LA PETITE NATION AU PONT-ROUTE 148 À L'OUEST DE PLAISANCE,RIVER/RIVIÈRE,,,45.60503,-75.127239,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04040001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04040001.xls
04060004,DU LIÈVRE RIVER AT BRIDGE - ROAD IN BUCKINGHAM,RIVIÈRE DU LIÈVRE AU PONT-ROUTE À BUCKINGHAM,RIVER/RIVIÈRE,,,45.585881,-75.418837,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04060004.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04060004.xls
04080003,GATINEAU RIVER AT BRIDGE - ROAD ABOVE CHELSEA STREAM NORTH OF GATINEAU,RIVIÈRE GATINEAU AU PONT-ROUTE EN AMONT DU RUISSEAU CHELSEA AU NORD DE GATINEAU,RIVER/RIVIÈRE,,,45.486983,-75.748901,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04080003.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04080003.xls
04300002,KINOJÉVIS RIVER AT BRIDGE - RTE 117 EAST OF MCWATTERS,RIVIÈRE KINOJÉVIS AU PONT-ROUTE 117 À L'EST DE MCWATTERS,RIVER/RIVIÈRE,,,48.208038,-78.863716,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04300002.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04300002.xls
04310008,OTTAWA RIVER AT CHENAUX DAM AT PORTAGE-DU-FORT,RIVIÈRE DES OUTAOUAIS AU BARRAGE CHENAUX À PORTAGE-DU-FORT,RIVER/RIVIÈRE,,,45.58427,-76.675083,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310008.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310008.xls
04310010,OTTAWA RIVER AT BRIDGE - RTE 101 AT NOTRE-DAME-DU-NORD,RIVIÈRE DES OUTAOUAIS AU PONT-ROUTE 101 À NOTRE-DAME-DU-NORD,RIVER/RIVIÈRE,,,47.58941,-79.484915,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310010.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310010.xls
04310011,OTTAWA RIVER AT MASSON CROSSING,RIVIÈRE DES OUTAOUAIS À LA TRAVERSE DE MASSON,RIVER/RIVIÈRE,,,45.522903,-75.410686,NAD83,QC,OTTAWA,OTTAWA,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310011.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04310011.xls
04320069,DES MILLES ÎLES RIVER - BETWEEN MOULINS ISLAND AND SAINT-JEAN ISLAND IN TERREBONNE,"RIVIÈRE DES MILLE ÎLES, ENTRE L' ÎLE DES MOULINS ET L'ÎLE SAINT-JEAN À TERREBONNE",RIVER/RIVIÈRE,,,45.692429,-73.640537,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04320069.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04320069.xls
04330019,PRAIRIE RIVER AT THE MOUTH IN THE CENTER OF THE BRIDGE - RTE 138 (METALS: 04330017),RIVIÈRE DES PRAIRIES À SON EMBOUCHURE AU CENTRE DU PONT-ROUTE 138 (MÉTAUX : 04330017),RIVER/RIVIÈRE,,,45.704396,-73.483765,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04330019.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/04330019.xls
05030001,BATISCAN RIVER AT BRIDGE AT SAINTE-GENEVIÈVE-DE-BATISCAN,RIVIÈRE BATISCAN AU PONT-ROUTE À SAINTE-GENEVIÈVE-DE-BATISCAN,RIVER/RIVIÈRE,,,46.525902,-72.338383,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05030001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05030001.xls
05040007,SAINTE-ANNE RIVER AT BRIDGE - RTE 138 IN SAINTE-ANNE-DE-LA-PÉRADE,RIVIÈRE SAINTE-ANNE AU PONT ROUTE 138 À SAINTE-ANNE-DE-LA-PÉRADE,RIVER/RIVIÈRE,,,46.5718,-72.206285,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05040007.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05040007.xls
05080105,JACQUES-CARTIER RIVER AT THE DONNACONNA WATER INTAKE,"RIVIÈRE JACQUES-CARTIER, À LA PRISE D'EAU DE DONNACONA",RIVER/RIVIÈRE,,,46.694103,-71.749126,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05080105.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05080105.xls
05090017,SAINT-CHARLES RIVER AT DORCHESTER BRIDGE IN QUEBEC,RIVIÈRE SAINT-CHARLES AU PONT DORCHESTER À QUEBEC,RIVER/RIVIÈRE,,,46.819179,-71.223438,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05090017.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05090017.xls
05220003,L'ASSOMPTION RIVER AT BRIDGE - ROAD AT LE GARDEUR - SINCE 1999 AT THE WATER TREATMENT PLANT,RIVIÈRE L'ASSOMPTION AU PONT-ROUTE À LE GARDEUR; DEPUIS 1999 À L'USINE DE FILTRATION,RIVER/RIVIÈRE,,,45.750996,-73.468359,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05220003.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05220003.xls
05230001,LA CHALOUPE RIVER AT BRIDGE - ROAD NEAREST TO THE MOUTH ,RIVIÈRE LA CHALOUPE AU PONT-ROUTE LE PLUS PROCHE DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,46.067195,-73.180334,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05230001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05230001.xls
05240001,BAYONNE RIVER AT BRIDGE - ROAD IN BERTHIERVILLE,RIVIÈRE BAYONNE AU PONT-ROUTE À BERTHIERVILLE,RIVER/RIVIÈRE,,,46.094079,-73.172981,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05240001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05240001.xls
05280001,DU LOUP RIVER AT 3.2 KM FROM THE MOUTH IN THE ST-LAWRENCE SOUTH OF LOUISEVILLE,"RIVIÈRE DU LOUP À 3,2 KM DE SON EMBOUCHURE AVEC LE SAINT-LAURENT AU SUD DE LOUISEVILLE",RIVER/RIVIÈRE,,,46.243713,-72.922846,NAD83,QC,ST. LAWRENCE,SAINT-LAURENT,ATLANTIC,ATLANTIQUE,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05280001.xls,http://www.mddelcc.gouv.qc.ca/eau/Atlas_interactif/conv/05280001.xls
AK08DC0001,"SALMON RIVER NEAR HYDER, ALASKA",RIVIÈRE SALMON PRÈS DE HYDER (ALASKA),RIVER/RIVIÈRE,,,56.0217,-130.0714,NAD83,US,PACIFIC COASTAL,CÔTE DU PACIFIQUE,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/AK08DC0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/AK08DC0001/Projects/PYLTM/Regions/0?new_lang=fr
AL05AD0005,WATERTON RIVER,RIVIÈRE WATERTON,RIVER/RIVIÈRE,,,49.1139,-113.8389,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,
AL05AD0060,BELLY RIVER,RIVIÈRE BELLY,RIVER/RIVIÈRE,,,49.0517,-113.6853,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,
AL05AK0001,SOUTH SASKATCHEWAN RIVER AT HWY 41,RIVIÈRE SASKATCHEWAN SUD À L'AUT. 41,RIVER/RIVIÈRE,,,50.7375,-110.0956,NAD27,AB,SOUTH SASKATCHEWAN,SASKATCHEWAN SUD,HUDSON BAY,BAIE D'HUDSON,,
