SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NB01AJ0008,08/09/2006 8:30,,0.3,,,110701,UG/L,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.43,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,08/09/2006 8:30,,8.15,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,08/09/2006 8:30,,8.39,,,10301,PH,PH,PH,P
NB01AJ0008,08/09/2006 8:30,,7.52,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NB01AJ0008,08/09/2006 8:30,,0.014,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,08/09/2006 8:30,,1.52,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110706,UG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,5.1,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/09/2006 8:30,,340,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,08/09/2006 8:30,,428.6,,,110702,UG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,7.66,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,08/09/2006 8:30,,14.65,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE EAU (TERRAIN),P
NB01AJ0008,08/09/2006 8:30,,0.5,,,110703,UG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.2,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,08/09/2006 8:30,,1.6,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,08/09/2006 8:30,,0.2,,,110704,UG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.4,,,110705,UG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,104.4,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,01/11/2006 8:00,,104.7,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,01/11/2006 8:00,,76.8,,,110688,UG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,<,0.1,,,110689,UG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.5,,,110690,UG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,10.8,,,110691,UG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,<,0.1,,,110692,UG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,<,0.1,,,110694,UG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,42.1,,,102952,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NB01AJ0008,01/11/2006 8:00,,24.9,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,01/11/2006 8:00,,6.1,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,01/11/2006 8:00,,7.24,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,01/11/2006 8:00,<,0.4,,,110695,UG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.1,,,110696,UG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,24,,,2011,REL UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,01/11/2006 8:00,,236.8,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,01/11/2006 8:00,,0.8,,,110697,UG/L,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.48,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,01/11/2006 8:00,,0.11,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.1,,,110698,UG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,3.34,,,102953,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,01/11/2006 8:00,,22.5,,,110699,UG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,<,0.1,,,110700,UG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.4,,,110701,UG/L,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.71,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,01/11/2006 8:00,,12.34,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,01/11/2006 8:00,,8.21,,,10301,PH,PH,PH,P
NB01AJ0008,01/11/2006 8:00,,7.95,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NB01AJ0008,01/11/2006 8:00,,0.018,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,01/11/2006 8:00,,1,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,01/11/2006 8:00,<,0.1,,,110706,UG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,3.67,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,01/11/2006 8:00,,246,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,01/11/2006 8:00,,272,,,110702,UG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,7.85,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,01/11/2006 8:00,,5.14,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE EAU (TERRAIN),P
NB01AJ0008,01/11/2006 8:00,,1,,,110703,UG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.5,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,01/11/2006 8:00,,2.2,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,01/11/2006 8:00,,0.2,,,110704,UG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,01/11/2006 8:00,,0.4,,,110705,UG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,139.4,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,05/12/2006 16:00,,140,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,05/12/2006 16:00,,33.6,,,110688,UG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110689,UG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,0.4,,,110690,UG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,13,,,110691,UG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110692,UG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110694,UG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,57.4,,,102952,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NB01AJ0008,05/12/2006 16:00,,34.1,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,05/12/2006 16:00,,4,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,05/12/2006 16:00,,9.1,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,05/12/2006 16:00,<,0.4,,,110695,UG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110696,UG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,7,,,2011,REL UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,05/12/2006 16:00,,306,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,05/12/2006 16:00,,0.5,,,110697,UG/L,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,1.22,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,05/12/2006 16:00,,0.08,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110698,UG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,4.36,,,102953,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,05/12/2006 16:00,,19,,,110699,UG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110700,UG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,0.2,,,110701,UG/L,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,1.42,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,05/12/2006 16:00,,14.11,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,05/12/2006 16:00,,8.36,,,10301,PH,PH,PH,P
NB01AJ0008,05/12/2006 16:00,,0.022,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,05/12/2006 16:00,,1.16,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,05/12/2006 16:00,<,0.1,,,110706,UG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,4.61,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,05/12/2006 16:00,,327,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,05/12/2006 16:00,,355.2,,,110702,UG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,11.5,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,05/12/2006 16:00,,0.197,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE EAU (TERRAIN),P
NB01AJ0008,05/12/2006 16:00,,0.8,,,110703,UG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,,0.5,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,05/12/2006 16:00,,2.7,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,05/12/2006 16:00,,0.2,,,110704,UG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,05/12/2006 16:00,<,0.3,,,110705,UG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,94,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,08/05/2007 15:20,,95.2,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,08/05/2007 15:20,,11.4,,,100450,UG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,37.6,,,110688,UG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,100466,UG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110689,UG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,0.3,,,100459,UG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.2,,,110690,UG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,10.8,,,110691,UG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110692,UG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,100465,UG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110694,UG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,39.54,,,102952,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/05/2007 15:20,,2.9,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,25.3,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,08/05/2007 15:20,,4.1,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,08/05/2007 15:20,,5.7,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.7,,,100452,UG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.4,,,110695,UG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,100454,UG/L,COBALT DISSOLVED,COBALT DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110696,UG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,15,,,2011,REL UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,08/05/2007 15:20,,223.8,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,08/05/2007 15:20,,0.4,,,100456,UG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.6,,,110697,UG/L,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,0.49,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,08/05/2007 15:20,<,0.02,,,102075,MG/L,IRON DISSOLVED,FER DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.05,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,100470,UG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110698,UG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,3,,,102953,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/05/2007 15:20,,6.6,,,100453,UG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,16.2,,,110699,UG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110700,UG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,0.2,,,100455,UG/L,NICKEL DISSOLVED,NICKEL DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.2,,,110701,UG/L,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,0.68,,,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NB01AJ0008,08/05/2007 15:20,,0.66,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,11.85,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,8.24,,,10301,PH,PH,PH,P
NB01AJ0008,08/05/2007 15:20,,7.64,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NB01AJ0008,08/05/2007 15:20,,0.015,,,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NB01AJ0008,08/05/2007 15:20,,0.85,,,102954,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/05/2007 15:20,<,0.1,,,110706,UG/L,SILVER EXTRACTABLE,ARGENT EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,3.18,,,102955,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/05/2007 15:20,<,2,,,101174,MG/L,SOLIDS SUSPENDED,SOLIDES EN SUSPENSION,P
NB01AJ0008,08/05/2007 15:20,,235,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NB01AJ0008,08/05/2007 15:20,,250.3,,,110702,UG/L,STRONTIUM EXTRACTABLE,STRONTIUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,7.3,,,16309,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,11.21,,,109028,DEG C,TEMPERATURE WATER (FIELD),TEMPÉRATURE EAU (TERRAIN),P
NB01AJ0008,08/05/2007 15:20,,0.7,,,110703,UG/L,TITANIUM EXTRACTABLE,TITANE EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,1.6,,,2073,JTU,TURBIDITY,TURBIDITÉ,P
NB01AJ0008,08/05/2007 15:20,,2.1,,,110001,NTU,TURBIDITY (FIELD),TURBIDITÉ (TERRAIN),P
NB01AJ0008,08/05/2007 15:20,,0.2,,,100451,UG/L,VANADIUM DISSOLVED,VANADIUM DISSOUS,P
NB01AJ0008,08/05/2007 15:20,,0.2,,,110704,UG/L,VANADIUM EXTRACTABLE,VANADIUM EXTRACTIBLE,P
NB01AJ0008,08/05/2007 15:20,,0.3,,,100457,UG/L,ZINC DISSOLVED,ZINC DISSOUS,P
NB01AJ0008,08/05/2007 15:20,<,0.3,,,110705,UG/L,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,131.3,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,13/06/2007 7:50,,132.2,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,13/06/2007 7:50,,6,,,100450,UG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,16.8,,,110688,UG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,<,0.1,,,100466,UG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
NB01AJ0008,13/06/2007 7:50,<,0.1,,,110689,UG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,0.5,,,100459,UG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,0.5,,,110690,UG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,14.4,,,110691,UG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,<,0.1,,,110692,UG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,<,0.1,,,100465,UG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
NB01AJ0008,13/06/2007 7:50,<,0.1,,,110694,UG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,56,,,102952,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NB01AJ0008,13/06/2007 7:50,,4.2,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,35.6,,,100531,MG/L,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,13/06/2007 7:50,,4.4,,,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NB01AJ0008,13/06/2007 7:50,,8.6,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,0.5,,,100452,UG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,0.4,,,110695,UG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,0.1,,,100454,UG/L,COBALT DISSOLVED,COBALT DISSOUS,P
NB01AJ0008,13/06/2007 7:50,,0.1,,,110696,UG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,13/06/2007 7:50,,14,,,2011,REL UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
